id,a2z,lastname,author,profession,nationality,birthdate,deathdate,quote,keywords
3916,a,Amicis,Edmondo De Amicis,Novelist,Italian,1846-10-21,11/03/1908,A woman is always a mystery: one must not be fooled by her face and her hearts inspiration.,"Inspiration, Woman"
4471,a,Anderson,Margaret Anderson,Editor,American,1886-11-24,18/10/1973,I defied nothing at all. I ignored the law because I didn't know it existed. It didn't occur to me that anyone would want to curb my inspiration.,"Inspiration, Law, Nothing, Want"
5098,a,Anouilh,Jean Anouilh,Playwright,French,23/06/1910,03/10/1987,Inspiration is a farce that poets have invented to give themselves importance.,"Inspiration, Importance, Poets"
6107,a,Armatrading,Joan Armatrading,Musician,St. Kittsian,09/12/1950,NULL,Inspiration doesn't really work like that - you're not looking out for it. Inspiration is something that tends to capture you rather than you capture it.,"Work, Inspiration"
6116,a,Armatrading,Joan Armatrading,Musician,St. Kittsian,09/12/1950,NULL,"So, the combination of looking at lots of different people and how they react to each other and how they relate to each other and waiting for that inspiration is the thing that allows me to keep writing.","People, Inspiration, Waiting, Writing"
7298,a,Atwood,Colleen Atwood,Designer,American,NULL,NULL,"I'd seen the current stage production and the 1975 production of Chicago. I liked them both very much, but I didn't use them necessarily as inspiration.","Inspiration, Chicago, Production"
11519,b,Bartoli,Cecilia Bartoli,Musician,Italian,04/06/1966,NULL,"Actually, I feel music becoming more and more important. It's a big source of inspiration. With what's going on in the world, we feel almost desperate. Music also brings you peace.","Music, Peace, Inspiration, World"
12061,b,Baudelaire,Charles Baudelaire,Poet,French,1821-04-09,1867-08-31,"Let us beware of common folk, of common sense, of sentiment, of inspiration, and of the obvious.","Inspiration, Common sense, Folk, Obvious, Sentiment"
12070,b,Baudelaire,Charles Baudelaire,Poet,French,1821-04-09,1867-08-31,Inspiration comes of working every day.,"Inspiration, Day"
12270,b,Bayh,Birch Bayh,Politician,American,22/01/1928,NULL,Certainly I think the election of John Kennedy and all he stood for was one that really was an inspiration.,Inspiration
12660,b,Beck,Beck,Musician,American,08/07/1970,NULL,You have to shelve a lot of your inspiration. There's only so much you can do with one record.,Inspiration
13378,b,Belinsky,Vissarion Belinsky,Critic,Russian,NULL,NULL,"Do not worry about the incarnation of ideas. If you are a poet, your works will contain them without your knowledge'they will be both moral and national if you follow your inspiration freely.","Knowledge, Inspiration, Ideas, Will, Worry"
13869,b,Benedict,Ruth Benedict,Scientist,American,1887-06-05,17/09/1948,I long to speak out the intense inspiration that comes to me from the lives of strong women.,"Women, Inspiration"
14079,b,Bennett,Bo Bennett,Businessman,American,16/02/1972,NULL,"Enthusiasm is excitement with inspiration, motivation, and a pinch of creativity.","Motivation, Inspiration, Creativity, Enthusiasm, Excitement"
18665,b,Bonhoeffer,Dietrich Bonhoeffer,Theologian,German,04/02/1906,09/04/1945,"The essence of optimism is that it takes no account of the present, but it is a source of inspiration, of vitality and hope where others have resigned; it enables a man to hold his head high, to claim the future for himself and not to abandon it to his enemy.","Inspiration, Hope, Optimism, Enemy, Future, Man, Present, Vitality"
19500,b,Bovee,Christian Nestell Bovee,Author,American,NULL,NULL,"Enthusiasm is the inspiration of everything great. Without it no man is to be feared, and with it none despised.","Inspiration, Enthusiasm, Man"
20250,b,Brahms,Johannes Brahms,Composer,German,1833-05-07,1897-04-03,"Without craftsmanship, inspiration is a mere reed shaken in the wind.","Inspiration, Wind"
20424,b,Brandes,Georg Brandes,Critic,Danish,1842-02-04,19/02/1927,But I did not find any positive inspiration in my studies until I approached my nineteenth year.,"Inspiration, Positive"
20920,b,Bresson,Robert Bresson,Director,French,25/09/1907,18/12/1999,When you do not know what you are doing and what you are doing is the best - that is inspiration.,Inspiration
22203,b,Brown,Eric Brown,Writer,NULL,25/05/1960,NULL,"The inspiration to write? Perhaps it's not so much inspiration, as a NEED to write. I get itchy and guilty and dissatisfied when I haven't written for a while. Ideas come to me and need to be written down.","Inspiration, Ideas"
22525,b,Brown,Rita Mae Brown,Writer,American,28/11/1944,NULL,"A deadline is negative inspiration. Still, it's better than no inspiration at all.","Inspiration, Negative"
23582,b,Buck,Pearl S. Buck,Novelist,American,1892-06-06,06/03/1973,The person who tries to live alone will not succeed as a human being. His heart withers if it does not answer another heart. His mind shrinks away if he hears only the echoes of his own thoughts and finds no other inspiration.,"Heart, Inspiration, Thoughts, Being, Mind, Succeed, Will"
25124,b,Burton,Amanda Burton,Actress,Irish,08/01/1957,NULL,"I always start from scratch with a character - they're never based on anyone else. You get ideas of what people look like, and I'm a great people watcher. You can draw inspiration from people.","People, Inspiration, Ideas, Character"
25208,b,Burwell,Carter Burwell,Composer,American,19/11/1955,NULL,The flow of Guiness into the studio was inspirational as well as nutritive.,Inspirational
25598,b,Bushnell,Nolan Bushnell,Businessman,American,05/02/1943,NULL,The ultimate inspiration is the deadline.,Inspiration
26006,b,Buttiglione,Rocco Buttiglione,Politician,American,06/06/1948,NULL,"One needs to know what the hierarchy of values are from which one takes inspiration, and in a democratic society this is the subject of continuous democratic debate.","Society, Inspiration, Values, Debate, Needs"
26476,c,Cabot,Meg Cabot,Author,American,01/02/1967,NULL,"My original inspiration was my mom: a few years after the death of my dad, she started dating one my teachers!","Dating, Death, Dad, Inspiration, Years"
26499,c,Caddy,Eileen Caddy,Celebrity,English,26/08/1917,13/12/2006,Cease trying to work everything out with your minds. It will get you nowhere. Live by intuition and inspiration and let your whole life be Revelation.,"Life, Work, Inspiration, Intuition, Trying, Will"
26916,c,Calvino,Italo Calvino,Journalist,Italian,15/10/1923,19/09/1985,"What Romantic terminology called genius or talent or inspiration is nothing other than finding the right road empirically, following one's nose, taking shortcuts.","Talent, Genius, Inspiration, Nothing, Right, Road, Romantic"
28051,c,Cardozo,Benjamin Cardozo,Judge,American,1870-05-24,09/07/1938,"Method is much, technique is much, but inspiration is even more.",Inspiration
28927,c,Carper,Thomas Carper,Economist,American,23/01/1947,NULL,"For me, our beaches have always been a source of personal inspiration.",Inspiration
28961,c,Carr,Emily Carr,Artist,Canadian,1871-12-13,02/03/1945,"Oh, Spring! I want to go out and feel you and get inspiration. My old things seem dead. I want fresh contacts, more vital searching.","Inspiration, Old, Want"
29134,c,Carrey,Jim Carrey,Comedian,Canadian,17/01/1962,NULL,"Before I do anything, I think, well what hasn't been seen. Sometimes, that turns out to be something ghastly and not fit for society. And sometimes that inspiration becomes something that's really worthwhile.","Society, Inspiration"
30039,c,Castle,Michael N. Castle,Politician,American,02/06/1939,NULL,"Just the example Delaware State University graduates set by the way they live their lives, should be an inspiration to other high school students to go to Delaware State.","Inspiration, Example, School, State, Students, University"
30194,c,Cave,Nick Cave,Musician,Australian,22/09/1957,NULL,An artist's duty is rather to stay open-minded and in a state where he can receive information and inspiration. You always have to be ready for that little artistic Epiphany.,"Inspiration, Artist, Duty, Information, Open, State"
30375,c,Celler,Emanuel Celler,Politician,American,1888-05-06,15/01/1981,"Roosevelt's humor was broad, his manner friendly. Of wit there was little; of philosophy, none. What did he possess? Intuition, inspiration, love of adventure.","Humor, Love, Inspiration, Adventure, Intuition, Philosophy, Wit"
30845,c,Chamberlin,Jimmy Chamberlin,Musician,American,10/06/1964,NULL,"My brother was always in bands and on the road when I was a kid and he was my inspiration. He never made it with a big band, in fact he never made a record. Here he is fifty-something years old.","Brother, Inspiration, Fact, Old, Road, Years"
31420,c,Chapman,Tracy Chapman,Musician,American,30/03/1964,NULL,"After it's finished, sometimes I can trace a path that goes back to the possible source of inspiration.",Inspiration
32194,c,Chesterton,Gilbert K. Chesterton,Writer,English,1874-05-29,14/06/1936,"Youth is the period in which a man can be hopeless. The end of every episode is the end of the world. But the power of hoping through everything, the knowledge that the soul survives its adventures, that great inspiration comes to the middle-aged.","Power, Soul, Knowledge, Inspiration, End, Man, World, Youth"
33297,c,Churchill,Winston Churchill,Statesman,English,1874-11-30,24/01/1965,I always seem to get inspiration and renewed vitality by contact with this great novel land of yours which sticks up out of the Atlantic.,"Inspiration, Land, Vitality"
33319,c,Churchill,Winston Churchill,Statesman,English,1874-11-30,24/01/1965,We shall draw from the heart of suffering itself the means of inspiration and survival.,"Heart, Inspiration, Survival, Suffering"
33469,c,Cicero,Marcus Tullius Cicero,Statesman,Roman,NULL,NULL,No one was ever great without some portion of divine inspiration.,Inspiration
36141,c,Collins,Jackie Collins,Author,British,04/10/1937,NULL,I think I'm a born storyteller. Inspiration is all around me. I can read a newspaper article and come up with an idea for a book.,"Idea, Inspiration"
36236,c,Collins,Judy Collins,Musician,American,01/05/1939,NULL,"When inspiration does not come, I go for a walk, go to the movie, talk to a friend, let go... The muse is bound to return again, especially if I turn my back!","Inspiration, Friend, Talk"
36244,c,Collins,Judy Collins,Musician,American,01/05/1939,NULL,I have inspiration and feelings of being alive most every day I live.,"Feelings, Inspiration, Being, Day"
36979,c,Connolly,James Connolly,Politician,Scottish,1868-06-05,12/05/1916,"Just as it is true that a stream cannot rise above its source, so it is true that a national literature cannot rise above the moral level of the social conditions of the people from whom it derives its inspiration.","People, Inspiration, Literature"
37976,c,Copland,Aaron Copland,Composer,American,14/11/1900,02/02/1990,"Inspiration may be a form of super-consciousness, or perhaps of subconsciousness I wouldn't know. But I am sure it is the antithesis of self-consciousness.","Inspiration, May, Self"
39228,c,Cox,Deborah Cox,Musician,Canadian,13/07/1973,NULL,"I really think about the times that I've been through with my husband and all the stuff that we've been through together, and I think to those moments for inspiration for the role.","HusbInspiration, Moments"
