id,a2z,lastname,author,profession,nationality,birthdate,deathdate,quote,keywords
4685,a,Andretti,Mario Andretti,Celebrity,American,28/02/1940,NULL,"Desire is the key to motivation, but it's determination and commitment to an unrelenting pursuit of your goal - a commitment to excellence - that will enable you to attain the success you seek.","Success, Motivation, Determination, Goal, Commitment, Desire, Excellence, Key, Pursuit, Will"
5830,a,Arguello,Alexis Arguello,Athlete,Nicaraguan,19/04/1952,NULL,I'd say the most memorable thing for me was my dedication and motivation in how I got so involved in boxing.,"Motivation, Boxing, Dedication"
6272,a,Arnaz,Desi Arnaz,Actor,American,02/03/1917,02/12/1986,A single prop that does not look real to an audience can louse you up. The same is true of the smallest flaw in setting up the motivation in a story line.,Motivation
7543,a,Augustine,Norman Ralph Augustine,Author,American,27/07/1935,NULL,Motivation will almost always beat mere talent.,"Motivation, Talent, Will"
8794,b,Badham,John Badham,Director,British,25/08/1939,NULL,"The personality problem is so tough when you're not able to pay people. It's bad enough when you can pay people, but, when you have people working for free, often their motivation is diminished considerably.","Motivation, People, Personality"
10262,b,Banks,Russell Banks,Author,American,28/03/1940,NULL,"One of the things I have tried to do with this book and with all of them really is avoid that simple, easy, reductionist view of motivation and to show we do things for a complex net of reasons, a real braid of reasons.",Motivation
12525,b,Beatty,Warren Beatty,Actor,American,30/03/1937,NULL,"Being here allows me to make the case that not all aging, narcissistic movie actors whose children could be mistaken for their grandchildren necessarily act with the same motivation.","Motivation, Act, Actors, Being, Children"
13571,b,Bella,Ahmed Ben Bella,Politician,Algerian,25/12/1918,NULL,"Yes, my life is a life of combat; I can say that this has never stopped for a single instant. It is a combat that started for me at the age of 16. I'm 90 years old now, and my motivation hasn't changed; it's the same fervour that drives me.","Age, Life, Motivation, Now, Old, Years"
14079,b,Bennett,Bo Bennett,Businessman,American,16/02/1972,NULL,"Enthusiasm is excitement with inspiration, motivation, and a pinch of creativity.","Motivation, Inspiration, Creativity, Enthusiasm, Excitement"
17214,b,Blix,Hans Blix,Diplomat,Swedish,28/06/1928,NULL,"Iraq did not spontaneously opt for disarmament. They did it as part of a ceasefire, so they were forced to do it, otherwise the war might have gone on. So the motivation has been very different.","War, Motivation, Iraq"
18787,b,Bono,Edward de Bono,Psychologist,English,19/05/1933,NULL,One very important aspect of motivation is the willingness to stop and to look at things that no one else has bothered to look at. This simple process of focusing on things that are normally taken for granted is a powerful source of creativity.,"Motivation, Creativity"
22194,b,Brown,Dennis Brown,Musician,NULL,01/02/1957,01/07/1999,But now I'm getting that spiritual motivation to visit Africa.,"Motivation, Now, Spiritual, Visit"
22380,b,Brown,Les Brown,Businessman,American,NULL,NULL,Wanting something is not enough. You must hunger for it. Your motivation must be absolutely compelling in order to overcome the obstacles that will invariably come your way.,"Motivation, Hunger, Obstacles, Order, Will"
26631,c,Cain,Herman Cain,Businessman,American,13/12/1945,NULL,"My motivation for running for Senate was not for the stature of being a senator, but because I wanted to make a difference on issues I feel passionate about.","Motivation, Being, Difference, Running, Senate"
28014,c,Card,Orson Scott Card,Writer,American,24/08/1951,NULL,"I wonder sometimes if the motivation for writers ought to be contempt, not admiration.","Motivation, Admiration, Contempt, Wonder, Writers"
29182,c,Carrey,Jim Carrey,Comedian,Canadian,17/01/1962,NULL,People need motivation to do anything. I don't think human beings learn anything without desperation.,"Motivation, People, Desperation"
31064,c,Chandler,Raymond Chandler,Writer,American,1888-07-23,26/03/1959,Ability is what you're capable of doing. Motivation determines what you do. Attitude determines how well you do it.,"Motivation, Attitude, Ability"
34148,c,Clary,Julian Clary,Comedian,English,25/05/1959,NULL,"It was all about wanting to get revenge. Pathetic, really, but it still is the motivation.","Motivation, Revenge"
34443,c,Clemens,Roger Clemens,Athlete,American,04/08/1962,NULL,"Everybody kind of perceives me as being angry. It's not anger, it's motivation.","Anger, Motivation, Being"
34694,c,Clinton,William J. Clinton,President,American,19/08/1946,NULL,"In the new economy, information, education, and motivation are everything.","Education, Motivation, Economy, Information"
39070,c,Coward,Noel Coward,Playwright,English,1899-12-16,26/03/1973,"If you must have motivation, think of your paycheck on Friday.",Motivation
44169,d,Denning,Dorothy Denning,Public Servant,American,12/08/1945,NULL,"While many hackers have the knowledge, skills, and tools to attack computer systems, they generally lack the motivation to cause violence or severe economic or social harm.","Motivation, Knowledge, Cause, Computer, Harm, Tools, Violence"
44171,d,Denning,Dorothy Denning,Public Servant,American,12/08/1945,NULL,"If we take as given that critical infrastructures are vulnerable to a cyber terrorist attack, then the question becomes whether there are actors with the capability and motivation to carry out such an operation.","Motivation, Actors, Question"
44429,d,Desai,Anita Desai,Novelist,Indian,24/06/1937,NULL,"Usually a feeling of disappointment follows the book, because what I hoped to write is not what I actually accomplished. However, it becomes a motivation to write the next book.","Motivation, Disappointment, Feeling"
46131,d,Ditka,Mike Ditka,Coach,American,18/10/1939,NULL,"People want a cop-out, listen I'm a realist and I talk about motivation, talk about all the things it takes to be greater or are important to win and people want to use excuses all the time.","Time, Motivation, People, Excuses, Talk, Want"
46199,d,Dixon,Donna Dixon,Actress,American,20/07/1957,NULL,"I love Nautilus and stretching. The results are immediate, and that gives me the motivation to continue.","Love, Motivation, Results"
46559,d,Domingo,Placido Domingo,Musician,Spanish,21/01/1941,NULL,"If money was my only motivation, I would organize myself differently.","Money, Motivation"
47673,d,Druyan,Ann Druyan,Writer,American,13/06/1949,NULL,"Well, I actually grew up in the sixties. I feel very lucky, actually, that that was my slice of time that I was dealt. Let's remember that the real motivation in the sixties, and even in the fifties, was the Cold War.","Time, War, Motivation"
48872,d,Dyer,Wayne Dyer,Psychologist,American,10/03/1940,NULL,Deficiency motivation doesn't work. It will lead to a life-long pursuit of try to fix me. Learn to appreciate what you have and where and who you are.,"Life, Work, Motivation, Pursuit, Will"
